City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,severo-yeniseyskiy,60.3725,93.0408,-20.23,97,88,2.27,RU,1731541762
83,villa gesell,-37.2639,-56.973,15.16,70,67,5.63,AR,1731541764
84,avarua,-21.2078,-159.775,25.03,69,75,2.57,CK,1731541765
85,albany,42.6001,-73.9662,1.92,62,0,1.07,US,1731541665
86,west island,-12.1568,96.8225,25.99,89,20,6.69,CC,1731541768
87,clinton,42.587,-82.9199,9.94,75,100,6.17,US,1731541769
88,ust'-kut,56.7938,105.7672,-11.87,96,100,1.14,RU,1731541770
89,udachny,66.4167,112.4,-30.76,99,40,3.09,RU,1731541771
90,dubrowna,54.5733,30.6906,0.46,79,100,2.19,BY,1731541772
91,the bottom,17.6259,-63.2492,26.64,68,51,2.19,BQ,1731541774
92,waingapu,-9.6567,120.2641,30.4,64,87,6.62,ID,1731541775
93,swan hill,-35.3378,143.5544,19.98,26,0,5.12,AU,1731541776
94,port alfred,-33.5906,26.891,15.1,89,99,2.21,ZA,1731541777
95,raja,8.4596,25.678,24.52,41,9,1.51,SS,1731541778
96,petropavlovsk-kamchatsky,53.0452,158.6483,-9.67,53,0,3.0,RU,1731541779
97,fuyuan,46.4333,127.0833,1.94,80,78,3.01,CN,1731541781
98,shimoda,34.6667,138.95,17.11,75,90,6.17,JP,1731541782
99,hanting,36.7708,119.2108,14.19,93,100,3.24,CN,1731541783
100,afaahiti,-17.75,-149.2833,23.37,80,84,6.98,PF,1731541785
101,alofi,-19.0595,-169.9187,27.94,61,75,7.2,NU,1731541786
102,estevan,49.1334,-102.9842,6.11,52,0,3.09,CA,1731541787
103,maralal,1.0968,36.698,16.2,80,87,1.6,KE,1731541788
104,kristiansund,63.1115,7.732,8.4,66,100,12.35,NO,1731541789
105,saldanha,-33.0117,17.9442,15.25,77,0,9.15,ZA,1731541790
106,tidjikja,18.5564,-11.4271,24.07,17,0,2.1,MR,1731541791
107,kill devil hills,36.0307,-75.676,13.32,65,100,5.14,US,1731541792
108,nova xavantina,-14.6667,-52.35,23.03,90,100,1.34,BR,1731541793
109,sitka,57.0531,-135.33,6.94,65,40,2.06,US,1731541794
110,port hedland,-20.3167,118.5667,33.03,38,55,8.23,AU,1731541655
111,teluknaga,-6.0989,106.6381,29.24,88,20,1.03,ID,1731541797
112,suances,43.4334,-4.0434,12.21,92,20,4.63,ES,1731541798
113,yellowknife,62.456,-114.3525,-10.71,96,75,3.6,CA,1731541800
114,mirnyy,62.5353,113.9611,-19.38,95,84,3.29,RU,1731541801
115,port lincoln,-34.7333,135.8667,14.58,64,100,3.95,AU,1731541582
116,prince rupert,54.3161,-130.3201,8.83,86,75,6.69,CA,1731541803
117,liberal,37.0431,-100.921,13.08,35,0,5.66,US,1731541711
118,tura,25.5198,90.2201,17.12,81,0,1.89,IN,1731541807
119,utrik,11.2278,169.8474,28.21,68,62,6.49,MH,1731541808
120,lorengau,-2.0226,147.2712,27.74,80,99,2.29,PG,1731541809
121,mbekenyera,-10.0,38.9833,23.16,90,58,1.87,TZ,1731541810
122,plattsburgh,44.6995,-73.4529,1.13,62,0,2.06,US,1731541600
123,richfield,44.8833,-93.283,7.35,91,100,2.06,US,1731541812
124,nema,57.5067,50.5011,-1.79,94,100,3.52,RU,1731541813
125,ceerigaabo,10.6162,47.368,14.08,27,4,3.13,SO,1731541814
126,san antonio de pale,-1.4014,5.6325,25.38,88,100,5.49,GQ,1731541815
127,kavaratti,10.5669,72.642,28.21,70,74,1.06,IN,1731541816
128,yaren,-0.5472,166.916,28.17,73,65,6.5,NR,1731541817
129,thompson,55.7435,-97.8558,-0.91,74,20,1.03,CA,1731541818
130,vadso,70.0744,29.7487,4.09,75,75,9.26,NO,1731541820
131,alice springs,-23.7,133.8833,25.75,18,99,7.2,AU,1731541650
132,tsiombe,-25.3,45.4833,23.59,84,78,3.37,MG,1731541822
133,kone,-21.0595,164.8658,33.6,37,68,1.08,NC,1731541823
134,pisco,-13.7,-76.2167,20.03,77,0,6.17,PE,1731541824
135,sirjan,29.452,55.6814,10.28,53,39,1.59,IR,1731541825
136,boyolangu,-8.1181,111.8935,26.48,85,27,1.59,ID,1731541826
137,tazovsky,67.4667,78.7,-30.39,100,92,0.72,RU,1731541827
138,fale old settlement,-9.3852,-171.2468,28.4,78,11,7.25,TK,1731541829
139,krasnokholmskiy,55.9873,55.0466,-2.58,95,99,3.4,RU,1731541830
140,olds,51.7834,-114.102,4.57,54,100,1.77,CA,1731541831
141,puerto maldonado,-12.6,-69.1833,24.22,83,0,0.0,PE,1731541832
142,bronkhorstspruit,-25.8102,28.7425,15.88,77,63,5.77,ZA,1731541833
143,jaisalmer,26.9147,70.9181,23.87,34,0,3.1,IN,1731541834
144,benghazi,32.1167,20.0667,20.83,44,94,5.46,LY,1731541835
145,lompoc,34.6391,-120.4579,16.96,70,0,6.69,US,1731541836
146,aasiaat,68.7098,-52.8699,-7.86,82,77,8.44,GL,1731541837
147,isafjordur,66.0755,-23.124,2.71,91,100,3.33,IS,1731541839
148,nampula,-15.1165,39.2666,23.97,83,40,1.54,MZ,1731541841
149,ascension,30.2169,-90.9001,25.56,94,72,0.45,US,1731541842
150,euclides da cunha,-10.5075,-39.0158,22.3,66,74,4.95,BR,1731541803
151,remire-montjoly,4.9167,-52.2667,27.02,89,75,3.09,GF,1731541844
152,newman,37.3138,-121.0208,17.24,59,86,2.24,US,1731541845
153,vikhorevka,56.1201,101.1636,-11.6,91,95,0.88,RU,1731541846
154,golden,39.7555,-105.2211,7.9,51,40,4.12,US,1731541847
155,talara,-4.5772,-81.2719,20.42,83,75,5.14,PE,1731541848
156,tongren,27.7172,109.1853,19.76,77,66,1.15,CN,1731541850
157,ilha de mocambique,-15.0342,40.7358,26.46,82,7,2.75,MZ,1731541851
158,san luis de la loma,17.2706,-100.8939,26.87,82,86,2.42,MX,1731541853
159,sittwe,20.15,92.9,24.16,86,3,2.43,MM,1731541854
160,trincomalee,8.5711,81.2335,27.96,77,100,2.7,LK,1731541855
161,namibe,-15.1961,12.1522,23.31,69,98,4.63,AO,1731541856
162,port elizabeth,-33.918,25.5701,16.29,81,20,0.89,ZA,1731541568
163,berdigestyakh,62.0989,126.6992,-15.51,97,100,2.08,RU,1731541858
